actor_id,actor_name
1866868,Bersaida Vega
1656675,Rosalba Rolón
1866869,Manny Gironny
1650801,Lloyd Dunn
1292738,Chris Grigg
1292739,Mark Hosler
1292740,Don Joyce
1650802,Doug Kahn
16418,Casey Kasem
1650803,Alan Korn
1292741,Richard Lyons
1650805,Paul Neff
1650807,John Oswald
7090,Kelsey Grammer
60949,Rob Schneider
5048,Harry Dean Stanton
6905,Bruce Dern
9626,Rip Torn
236327,Ken Hudson Campbell
18271,Toby Huss
84077,Duane Martin
3830,Jean Seberg
54782,Mary Beth Hurt
45382,Dirk Shafer
45386,Mary Stein
45387,Claudette Sutherland
45388,Cal Bartlett
45389,Vivian Paxton
45390,Michael Ornstein
45391,Beth Broderick
45392,Cynthia Szigeti
45393,Dennis Bailey
45394,Charles Sloane
93396,Jacob Tierney
3272,Drake Bell
4800,Gena Rowlands
2958,Diana Scarwid
30151,Leo Burmester
196902,Stephanie Astalos-Jones
196843,Jill Jane Clements
4432,Frances Conroy
146025,Sharon Blackwood
4135,Robert Redford
8893,Stockard Channing
2683,Glenn Plummer
8986,James Rebhorn
1218088,Scott Bryce
58650,Raymond Cruz
91332,Dedee Pfeiffer
78729,Nathan Lane
1902,Dianne Wiest
5587,Hank Azaria
5346,Dan Futterman
49148,Calista Flockhart
11870,Christine Baranski
77338,Tom McGowan
13919,Michael York
14990,Morgan Fairchild
925,Paul Guilfoyle
14102,George Coe
86308,Shari Albert
21398,Maxine Bahns
86309,Catharine Bolz
86310,Connie Britton
12833,Edward Burns
86311,Peter Johansen
27739,Jennifer Jostyn
69298,Michael McGlone
86312,Elizabeth McKay
86313,Jack Mulcahy
2888,Will Smith
19838,Marg Helgenberger
11486,Michael Imperioli
4604,Theresa Randle
32747,Stephen Lang
108210,Ryan Slater
108211,Yi Ding
108212,Brian Wagner
108213,Isabella Hofmann
6193,Leonardo DiCaprio
11478,Lorraine Bracco
65395,James Madio
13240,Mark Wahlberg
9257,Bruno Kirby
186526,Patrick McGaw
8874,Ernie Hudson
163985,Manny Alfaro
95789,Georgina Cates
47754,Rita Tushingham
2629,Alun Armstrong
22109,Peter Firth
55643,Prunella Scales
30427,Nicola Pagett
1220073,Edward Petherbridge
5475,Clive Merrison
17882,Isabelle Huppert
42993,Martin Donovan
17257,Elina Löwensohn
109144,Damian Young
